focal_id,delay_year,new_phrase_comb,new_phrase,new_word_comb,novelty,first_author_productivity,team_productivity,author_count,journal_tier_rc,journal_tier_orig5,journal_tier,inter_coauthorship,Ni_foreign_ratio,Nj_foreign_ratio,year,field,Ni_dynamic,Nj_dynamic,citation_dynamic
https://openalex.org/W1966658812,0,7,2,8,2.0794415416798357,28.0,14.5,2,0,2,1,0,0.0,,1999,4,4,0,4
https://openalex.org/W1966828257,0,11,2,0,2.4849066497880004,9.0,9.0,1,0,2,1,0,0.4,,1999,4,5,0,5
https://openalex.org/W1967099666,2,3,0,12,1.3862943611198906,30.0,30.0,1,1,1,1,0,0.3333,0.6667,1999,4,6,3,9
https://openalex.org/W1967461016,0,3,1,26,1.3862943611198906,0.0,27.5,4,1,1,1,0,0.0,,1999,4,2,0,2
https://openalex.org/W1967495926,10,3,0,3,1.3862943611198906,14.0,9.5,2,1,1,1,0,0.4194,0.2642,1999,4,62,53,115
https://openalex.org/W1968128799,2,0,0,0,0.0,145.0,145.0,1,1,1,1,0,0.6667,1.0,1999,4,3,1,4
https://openalex.org/W1968262618,1,0,0,1,0.0,2.0,2.0,1,0,2,1,0,0.1667,0.2222,1999,4,12,9,21
https://openalex.org/W1968817361,2,0,0,0,0.0,6.0,6.0,1,0,4,0,0,1.0,,1999,4,1,0,1
https://openalex.org/W1969212412,0,3,1,0,1.3862943611198906,47.0,47.0,1,0,2,1,0,0.6667,1.0,1999,4,3,1,4
https://openalex.org/W1969265413,0,0,0,2,0.0,8.0,4.0,2,1,1,1,0,0.4,,1999,4,5,0,5
https://openalex.org/W1969349522,3,8,0,48,2.1972245773362196,106.0,61.5,2,0,5,0,0,0.0,0.5,1999,4,4,2,6
https://openalex.org/W1969481673,0,7,0,0,2.0794415416798357,3.0,10.333333333333334,3,1,1,1,0,1.0,,1999,4,1,0,1
https://openalex.org/W1969596871,6,0,0,0,0.0,3.0,3.0,2,0,3,0,0,0.5,0.0,1999,4,4,3,7
https://openalex.org/W1969780934,0,4,1,17,1.6094379124341003,69.0,69.0,1,1,1,1,0,1.0,,1999,4,2,0,2
https://openalex.org/W1970017864,0,0,1,0,0.0,1.0,1.0,1,0,3,0,0,0.0,,1999,4,1,0,1
https://openalex.org/W1970126236,9,0,0,0,0.0,6.0,3.0,2,0,2,1,0,0.2857,,1999,4,7,0,7
https://openalex.org/W1970417167,8,0,0,0,0.0,47.0,47.0,1,0,2,1,0,0.5263,0.0,1999,4,19,1,20
https://openalex.org/W1970491547,4,6,1,12,1.9459101490553132,4.0,4.0,1,1,1,1,0,0.2,0.2222,1999,4,30,9,39
https://openalex.org/W1970616524,8,3,1,0,1.3862943611198906,21.0,8.666666666666666,3,0,2,1,0,0.25,0.0,1999,4,4,1,5
