focal_id,A_cum_foreign_ratio,C_cum_foreign_ratio
https://openalex.org/W122671926,0.0,
https://openalex.org/W127958452,0.5333,0.4
https://openalex.org/W134252754,0.6154,0.5714
https://openalex.org/W1481578427,1.0,0.0
https://openalex.org/W1481894647,0.5,0.0
https://openalex.org/W1484223719,0.0,
https://openalex.org/W1487783502,0.0833,
https://openalex.org/W1488186435,0.1,0.0
https://openalex.org/W1491327455,0.5,
https://openalex.org/W1493392221,1.0,
https://openalex.org/W1496893605,0.5,0.5
https://openalex.org/W1499585603,0.0,0.0
https://openalex.org/W1500063656,0.0,
https://openalex.org/W1500387408,0.0,
https://openalex.org/W1501323942,0.75,0.0
https://openalex.org/W1503778604,0.3333,1.0
https://openalex.org/W1504067081,0.5,0.0
https://openalex.org/W1504109566,0.2857,1.0
https://openalex.org/W1506126356,0.3333,0.0
https://openalex.org/W1507049374,0.5,1.0
https://openalex.org/W1508235409,0.0,
https://openalex.org/W1513081937,0.3333,0.0
https://openalex.org/W1514545135,0.1429,
https://openalex.org/W1517942956,0.0,0.0
https://openalex.org/W1518237432,0.4783,0.4
https://openalex.org/W1519452692,0.1538,0.25
https://openalex.org/W1523109231,0.3333,
https://openalex.org/W1524206411,0.25,0.0
https://openalex.org/W1530343546,0.0,0.0
https://openalex.org/W1531153384,0.25,0.5
https://openalex.org/W1531347441,0.3636,0.4444
https://openalex.org/W1533978004,1.0,
https://openalex.org/W1535502972,1.0,
https://openalex.org/W1543488641,0.0,1.0
https://openalex.org/W1546973712,0.5,
https://openalex.org/W1551067740,0.0,0.5
https://openalex.org/W1552715661,0.375,0.0
https://openalex.org/W1554828773,0.125,0.0
https://openalex.org/W1556287528,0.1579,0.0
https://openalex.org/W1556767293,0.5,
https://openalex.org/W1557306790,1.0,
https://openalex.org/W1561577657,0.0,0.0
https://openalex.org/W1561635925,0.0,0.0
https://openalex.org/W1561799423,1.0,
https://openalex.org/W1561864154,0.75,
https://openalex.org/W1563057046,0.0,1.0
https://openalex.org/W1564105795,0.5,0.0
https://openalex.org/W1573506759,0.5,
https://openalex.org/W1574013347,0.3846,0.5
https://openalex.org/W1575703057,0.0,0.0
https://openalex.org/W1577197842,1.0,
https://openalex.org/W1581690424,0.5,1.0
https://openalex.org/W1597146316,0.0,
https://openalex.org/W1597852827,0.1667,0.0
https://openalex.org/W1598081119,0.0,0.0
https://openalex.org/W1601968785,0.0,0.0
https://openalex.org/W1602115141,0.1,0.0
https://openalex.org/W1605081654,0.2927,0.087
https://openalex.org/W1605607589,0.375,0.5
https://openalex.org/W1605797441,1.0,
https://openalex.org/W1607870159,0.5,1.0
https://openalex.org/W1612675994,0.0,
https://openalex.org/W1615571572,0.0,
https://openalex.org/W1616145861,0.0,
https://openalex.org/W1617446374,1.0,0.3333
https://openalex.org/W1620696900,0.5,
https://openalex.org/W1621380484,0.3333,
https://openalex.org/W1622629506,1.0,
https://openalex.org/W1630607085,0.25,0.2
https://openalex.org/W1632897666,0.3333,0.0833
https://openalex.org/W1633496307,0.1667,1.0
https://openalex.org/W1636243575,0.0,0.0
https://openalex.org/W1637753138,0.0,0.0
https://openalex.org/W1638533794,0.2941,0.0
https://openalex.org/W1639698584,0.0,
https://openalex.org/W1640497277,0.0,
https://openalex.org/W1642044419,0.6,0.5
https://openalex.org/W1643536362,0.8571,0.5
https://openalex.org/W1644723172,1.0,0.0
https://openalex.org/W1644775552,0.6667,
https://openalex.org/W1647397559,1.0,
https://openalex.org/W1651383165,0.5,
https://openalex.org/W1652728081,0.0,0.0
https://openalex.org/W1655551324,0.0,
https://openalex.org/W1658056060,0.25,0.0
https://openalex.org/W1662000580,0.1875,0.3
https://openalex.org/W1666727994,0.375,0.0
https://openalex.org/W1668534313,0.0,
https://openalex.org/W1671512723,1.0,
https://openalex.org/W1671671082,0.0,0.5
https://openalex.org/W1672001736,0.0,
https://openalex.org/W1672972456,0.5,0.0
https://openalex.org/W1673508942,0.5,0.0
https://openalex.org/W1682777897,0.4419,0.3793
https://openalex.org/W1727253258,0.0,
https://openalex.org/W1758948713,0.5,
https://openalex.org/W1762118141,0.0909,0.0
https://openalex.org/W1765533502,0.3333,0.5
https://openalex.org/W1774200817,0.2,0.3333
https://openalex.org/W1792448484,0.0,
https://openalex.org/W1832206246,0.0,0.0
https://openalex.org/W1850356021,0.1429,0.2
https://openalex.org/W1859454870,0.5,0.0
https://openalex.org/W188839125,0.3333,0.0
https://openalex.org/W1941737991,0.0,
https://openalex.org/W1944419244,0.1,0.3333
https://openalex.org/W1945478703,0.0,
https://openalex.org/W1963322946,0.3333,
https://openalex.org/W1963484142,1.0,
https://openalex.org/W1963492608,0.0,0.0
https://openalex.org/W1963496985,0.8,1.0
https://openalex.org/W1963551207,0.0556,0.0
https://openalex.org/W1963559984,0.3333,
https://openalex.org/W1963565156,0.2857,0.8
https://openalex.org/W1963567500,0.0,0.0
https://openalex.org/W1963588865,0.1053,0.0
https://openalex.org/W1963599983,0.0,0.0
https://openalex.org/W1963620933,0.2,0.0
https://openalex.org/W1963624488,1.0,
https://openalex.org/W1963632007,0.5,
https://openalex.org/W1963649172,1.0,
https://openalex.org/W1963665155,0.0,0.0
https://openalex.org/W1963736023,0.2857,0.0
https://openalex.org/W1963745033,0.75,0.3333
https://openalex.org/W1963778709,0.2,0.0
https://openalex.org/W1963781028,0.0,0.0
https://openalex.org/W1963803682,0.0,
https://openalex.org/W1963907898,0.6667,0.0
https://openalex.org/W1963955043,0.25,0.0
https://openalex.org/W1963967969,0.5,
https://openalex.org/W1963993457,0.4,1.0
https://openalex.org/W1964073228,0.3333,0.0
https://openalex.org/W1964084524,0.125,0.0
https://openalex.org/W1964084669,0.6667,
https://openalex.org/W1964102459,0.5,1.0
https://openalex.org/W1964187495,0.25,
https://openalex.org/W1964269273,0.5,
https://openalex.org/W1964293872,1.0,
https://openalex.org/W1964354943,0.6667,
https://openalex.org/W1964366427,0.3333,0.0
https://openalex.org/W1964377146,0.0,0.0
https://openalex.org/W1964419874,0.5455,1.0
https://openalex.org/W1964442184,0.0,0.0
https://openalex.org/W1964444701,1.0,
https://openalex.org/W1964535110,0.0,
https://openalex.org/W1964545319,0.0,0.0
https://openalex.org/W1964569497,0.0,
https://openalex.org/W1964571442,0.6667,0.0
https://openalex.org/W1964610880,0.5,0.0
https://openalex.org/W1964641556,0.8182,0.4
https://openalex.org/W1964790783,0.0,0.0
https://openalex.org/W1964804916,0.0,0.1429
https://openalex.org/W1964831499,0.0,
https://openalex.org/W1964840749,0.0,
https://openalex.org/W1964853668,0.0,
https://openalex.org/W1964857622,0.5,0.5
https://openalex.org/W1964867641,0.0,0.0
https://openalex.org/W1964892105,0.0,
https://openalex.org/W1964958132,0.2,0.0
https://openalex.org/W1964964140,0.0,0.0
https://openalex.org/W1965024946,0.5,
https://openalex.org/W1965144649,0.125,0.3333
https://openalex.org/W1965200594,1.0,
https://openalex.org/W1965209189,0.0,
https://openalex.org/W1965209243,0.75,0.0
https://openalex.org/W1965213474,0.4,0.0
https://openalex.org/W1965266149,0.3333,0.0
https://openalex.org/W1965304117,0.3171,0.3333
https://openalex.org/W1965339507,0.3636,0.1429
https://openalex.org/W1965353800,0.3077,0.0
https://openalex.org/W1965358511,0.8889,1.0
https://openalex.org/W1965362530,0.0,
https://openalex.org/W1965404111,0.1111,0.0
https://openalex.org/W1965405730,0.0,
https://openalex.org/W1965481158,0.25,0.0
https://openalex.org/W1965500893,0.5,0.0
https://openalex.org/W1965517396,0.6667,
https://openalex.org/W1965609529,0.0,
https://openalex.org/W1965628052,0.0,
https://openalex.org/W1965635863,0.5,1.0
https://openalex.org/W1965660654,0.0,0.0
https://openalex.org/W1965671703,1.0,
https://openalex.org/W1965682018,0.0,
https://openalex.org/W1965682282,0.1667,
https://openalex.org/W1965697963,0.0,0.0
https://openalex.org/W1965735368,0.25,0.0
https://openalex.org/W1965790121,0.4,0.6667
https://openalex.org/W1965850246,0.1429,0.1429
https://openalex.org/W1965866647,0.5,1.0
https://openalex.org/W1965875150,0.0,0.0
https://openalex.org/W1965879234,0.0,0.5
https://openalex.org/W1965924634,0.5,0.0
https://openalex.org/W1965938372,0.1667,
https://openalex.org/W1965949558,1.0,
https://openalex.org/W1965967433,0.0,0.0
https://openalex.org/W1965979526,1.0,
https://openalex.org/W1966013738,0.0,
https://openalex.org/W1966030204,0.3333,
https://openalex.org/W1966048100,0.0,0.0
https://openalex.org/W1966088952,0.0,
https://openalex.org/W1966108974,0.375,0.5
https://openalex.org/W1966109541,1.0,
https://openalex.org/W1966118057,0.6667,0.4
https://openalex.org/W1966160034,0.5,
https://openalex.org/W1966186287,0.5833,0.4444
https://openalex.org/W1966310524,0.4286,0.0
https://openalex.org/W1966316751,0.2,0.0
https://openalex.org/W1966326280,0.4286,
https://openalex.org/W1966426973,0.2812,0.125
https://openalex.org/W1966481202,1.0,
https://openalex.org/W1966488329,0.0,0.0
https://openalex.org/W1966514141,0.5,
https://openalex.org/W1966587655,0.0,0.0
https://openalex.org/W1966610157,0.5,
https://openalex.org/W1966617993,0.0,
https://openalex.org/W1966660696,0.0,
https://openalex.org/W1966677355,0.0,
https://openalex.org/W1966697286,0.5,0.0
https://openalex.org/W1966725186,0.125,0.0
https://openalex.org/W1966734616,0.4444,
https://openalex.org/W1966745207,0.8,1.0
https://openalex.org/W1966762305,0.4,
https://openalex.org/W1966772391,0.5,0.0
https://openalex.org/W1966827777,0.25,
https://openalex.org/W1966832878,0.2,0.0
https://openalex.org/W1966877621,0.0,0.0
https://openalex.org/W1966908324,0.25,0.25
https://openalex.org/W1966934656,0.1667,0.0
https://openalex.org/W1966936688,0.25,0.0
https://openalex.org/W1966967466,0.0,
https://openalex.org/W1966992046,0.0,
https://openalex.org/W1966999885,0.0,
https://openalex.org/W1967017588,0.5,
https://openalex.org/W1967082230,0.0,0.0
https://openalex.org/W1967117100,0.8571,0.5
https://openalex.org/W1967172709,0.0,0.0
https://openalex.org/W1967194847,0.2917,0.1429
https://openalex.org/W1967206698,0.0,0.25
https://openalex.org/W1967211479,0.5,0.0
https://openalex.org/W1967214656,0.4783,0.3571
https://openalex.org/W1967216849,0.0,0.0
https://openalex.org/W1967318723,0.8,1.0
https://openalex.org/W1967328334,0.1667,0.0
https://openalex.org/W1967357379,0.6,
https://openalex.org/W1967358596,0.0,
https://openalex.org/W1967389260,0.0,0.5
https://openalex.org/W1967399501,1.0,0.5
https://openalex.org/W1967434767,0.4286,1.0
https://openalex.org/W1967457727,0.0,
https://openalex.org/W1967559392,0.5116,0.2222
https://openalex.org/W1967566874,0.6667,0.5
https://openalex.org/W1967567132,0.0,
https://openalex.org/W1967603475,0.5,0.3333
https://openalex.org/W1967711837,0.0,
https://openalex.org/W1967713707,0.25,0.0
https://openalex.org/W1967753484,0.0,
https://openalex.org/W1967759704,0.0,
https://openalex.org/W1967791499,0.75,0.5
https://openalex.org/W1967808271,0.0,0.0
https://openalex.org/W1967838798,0.6667,0.0
https://openalex.org/W1967860021,0.9286,0.0
https://openalex.org/W1967868681,0.1569,0.0513
https://openalex.org/W1967870839,0.0,
https://openalex.org/W1967871577,1.0,0.0
https://openalex.org/W1967877328,0.0,
https://openalex.org/W1967887529,0.0,
https://openalex.org/W1967890011,0.0,0.0
https://openalex.org/W1967911129,0.6667,
https://openalex.org/W1967936211,0.5,1.0
https://openalex.org/W1967938778,0.3333,0.0
https://openalex.org/W1968032851,0.1429,0.5
https://openalex.org/W1968045276,0.6667,0.0
https://openalex.org/W1968083145,0.6,1.0
https://openalex.org/W1968101292,0.25,0.0
https://openalex.org/W1968116231,0.3529,0.0833
https://openalex.org/W1968146791,0.6667,1.0
https://openalex.org/W1968169287,0.25,1.0
https://openalex.org/W1968193648,0.6,0.0
https://openalex.org/W1968224167,0.2222,0.3333
https://openalex.org/W1968259389,0.4545,0.6667
https://openalex.org/W1968313117,0.5,
https://openalex.org/W1968377342,0.5,1.0
https://openalex.org/W1968414648,0.3333,
https://openalex.org/W1968425016,0.0,
https://openalex.org/W1968433406,0.0,
https://openalex.org/W1968456381,1.0,1.0
https://openalex.org/W1968464829,0.0,
https://openalex.org/W1968481592,0.6667,0.0
https://openalex.org/W1968551717,0.6,0.6667
https://openalex.org/W1968595720,0.25,0.0
https://openalex.org/W1968612328,0.3,0.0
https://openalex.org/W1968653259,0.8,
https://openalex.org/W1968660621,1.0,
https://openalex.org/W1968660633,1.0,
https://openalex.org/W1968694530,0.5,0.5
https://openalex.org/W1968699120,0.0,
https://openalex.org/W1968706087,1.0,
https://openalex.org/W1968767606,0.0,
https://openalex.org/W1968807778,0.3333,0.0
https://openalex.org/W1968823612,1.0,
https://openalex.org/W1968833398,0.0,
https://openalex.org/W1968907873,0.6,1.0
https://openalex.org/W1969020713,0.0,
https://openalex.org/W1969089298,0.0,0.0
https://openalex.org/W1969094125,0.0,0.0
https://openalex.org/W1969118064,0.0,0.0
https://openalex.org/W1969121031,0.5,
https://openalex.org/W1969124121,1.0,
https://openalex.org/W1969130686,0.0,0.0
https://openalex.org/W1969149691,0.0,
https://openalex.org/W1969195006,0.1538,0.1111
https://openalex.org/W1969212519,0.0,0.0
https://openalex.org/W1969228631,0.3333,0.0
https://openalex.org/W1969258694,0.2857,
https://openalex.org/W1969303060,0.3636,0.4
https://openalex.org/W1969343356,0.3869,0.3986
https://openalex.org/W1969357112,0.2169,0.1935
https://openalex.org/W1969383632,0.2222,0.0
https://openalex.org/W1969384804,0.2857,0.0
https://openalex.org/W1969394007,1.0,
https://openalex.org/W1969399772,0.75,
https://openalex.org/W1969449013,1.0,
https://openalex.org/W1969449648,0.0,
https://openalex.org/W1969539103,0.1111,0.0
https://openalex.org/W1969550228,0.0,
https://openalex.org/W1969551906,1.0,0.0
