work_id,n_authors,n_affiliations,n_countries,countries,is_international
https://openalex.org/W1965137841,8,8,1,CN,0
https://openalex.org/W1965148737,5,5,1,IT,0
https://openalex.org/W1965212047,9,9,1,US,0
https://openalex.org/W1965307398,7,7,2,"FR,US",1
https://openalex.org/W1965310771,5,5,1,GB,0
https://openalex.org/W1965381284,14,14,1,KR,0
https://openalex.org/W1965440990,5,7,1,US,0
https://openalex.org/W1965537857,4,4,0,,0
https://openalex.org/W1965541865,3,3,1,IN,0
https://openalex.org/W1965658545,3,3,1,KR,0
https://openalex.org/W1965682664,4,4,2,"CH,DE",1
https://openalex.org/W1965711485,1,1,0,,0
https://openalex.org/W1965714705,4,4,1,PS,0
https://openalex.org/W1965772289,4,4,0,,0
https://openalex.org/W1965814040,6,6,1,CN,0
https://openalex.org/W1965852996,6,6,1,US,0
https://openalex.org/W1965927283,5,5,1,US,0
https://openalex.org/W1966015777,7,7,1,KR,0
https://openalex.org/W1966125486,6,10,1,FR,0
https://openalex.org/W1966137747,3,3,1,US,0
https://openalex.org/W1966148271,4,7,2,"CN,HK",1
https://openalex.org/W1966191258,7,7,2,"ES,IT",1
https://openalex.org/W1966201512,14,22,1,ES,0
https://openalex.org/W1966202467,6,9,1,CN,0
https://openalex.org/W1966257666,11,27,2,"AR,CL",1
https://openalex.org/W1966429896,11,11,2,"MG,US",1
https://openalex.org/W1966452731,2,2,1,US,0
https://openalex.org/W1966456594,3,4,1,IT,0
https://openalex.org/W1966466061,6,7,2,"FR,RO",1
https://openalex.org/W1966471417,24,48,1,GB,0
https://openalex.org/W1966681447,5,10,1,CN,0
https://openalex.org/W1966711219,5,5,0,,0
https://openalex.org/W1966719812,3,3,1,GB,0
https://openalex.org/W1966738181,4,4,1,JP,0
https://openalex.org/W1966759074,1,2,0,,0
https://openalex.org/W1966922317,6,6,2,"EG,US",1
https://openalex.org/W1966990151,2,2,1,FI,0
https://openalex.org/W1967012270,7,7,1,IT,0
https://openalex.org/W1967045317,11,33,3,"PH,SG,US",1
https://openalex.org/W1967110146,4,4,1,IR,0
https://openalex.org/W1967260331,4,4,2,"GB,US",1
https://openalex.org/W1967306136,6,9,1,JP,0
https://openalex.org/W1967494893,2,2,1,KR,0
https://openalex.org/W1967497513,2,2,1,US,0
https://openalex.org/W1967637067,3,6,1,GB,0
https://openalex.org/W1967750255,3,3,1,PT,0
https://openalex.org/W1967795695,4,4,1,JP,0
https://openalex.org/W1967815298,5,11,3,"FR,JP,US",1
https://openalex.org/W1967837565,9,21,1,FR,0
https://openalex.org/W1967889674,2,2,1,IT,0
https://openalex.org/W1967931438,8,9,1,JP,0
https://openalex.org/W1967963849,7,7,1,CN,0
https://openalex.org/W1967969973,4,4,1,IN,0
https://openalex.org/W1968023478,8,8,1,KR,0
https://openalex.org/W1968024866,4,4,1,CN,0
https://openalex.org/W1968026962,5,9,2,"GB,MY",1
https://openalex.org/W1968107606,9,9,1,CN,0
https://openalex.org/W1968160155,5,5,1,TR,0
https://openalex.org/W1968205340,7,7,1,BR,0
https://openalex.org/W1968302051,1,1,0,,0
https://openalex.org/W1968342588,3,3,1,HU,0
https://openalex.org/W1968537072,3,6,1,HK,0
https://openalex.org/W1968565529,6,6,1,IN,0
