focal_id,DI_y1,A_y1,B_y1,C_y1,DI_y2,A_y2,B_y2,C_y2,DI_y3,A_y3,B_y3,C_y3,DI_y4,A_y4,B_y4,C_y4,DI_y5,A_y5,B_y5,C_y5,DI_y6,A_y6,B_y6,C_y6,DI_y7,A_y7,B_y7,C_y7,DI_y8,A_y8,B_y8,C_y8,DI_y9,A_y9,B_y9,C_y9,DI_y10,A_y10,B_y10,C_y10,DI_y11,A_y11,B_y11,C_y11,DI_y12,A_y12,B_y12,C_y12,DI_y13,A_y13,B_y13,C_y13,DI_y14,A_y14,B_y14,C_y14,DI_y15,A_y15,B_y15,C_y15
https://openalex.org/W121097428,-0.0027,0,370,1,-0.0013,0,780,1,-0.0017,0,1203,2,-0.0025,0,1616,4,-0.0024,0,2094,5,-0.0024,0,2520,6,-0.002,1,2926,7,-0.0021,1,3290,8,-0.0019,1,3620,8,-0.0017,2,3997,9,-0.0016,2,4384,9,-0.0017,2,4735,10,-0.0008,6,5006,10,-0.0006,7,5243,10,-0.0006,7,5426,10
https://openalex.org/W123188105,0.0068,1,147,0,0.0034,1,293,0,0.0022,1,462,0,0.0033,2,607,0,0.004,3,739,0,0.0034,3,872,0,0.0031,3,964,0,0.0019,3,1061,1,0.0027,4,1115,1,0.0026,4,1159,1,0.0041,6,1220,1,0.0039,6,1269,1,0.0039,6,1279,1,0.0039,6,1286,1,0.0038,6,1314,1
https://openalex.org/W123686239,-0.001,1,3122,4,-0.0007,2,6755,7,-0.0008,3,10522,11,-0.0007,4,14728,15,-0.001,4,19264,23,-0.001,4,23851,27,-0.001,4,27940,32,-0.001,4,31794,35,-0.0009,4,35843,37,-0.0008,5,40032,39,-0.0008,6,44625,43,-0.0009,6,49282,51,-0.0009,6,51860,55,-0.001,7,54335,60,-0.0009,9,56110,61
https://openalex.org/W1249216111,-0.0011,0,3760,4,-0.0012,0,7477,9,-0.0018,0,11129,20,-0.0016,0,14770,24,-0.0017,0,18448,32,-0.0018,0,21841,40,-0.002,0,24929,49,-0.0021,1,27839,59,-0.0021,1,30675,67,-0.002,1,33381,69,-0.002,1,36067,74,-0.0019,1,38506,75,-0.0019,1,39897,78,-0.0019,3,41208,80,-0.0018,4,42275,82
https://openalex.org/W126077015,0.0,0,1955,0,0.0,0,4018,0,0.0002,1,6163,0,0.0002,2,8437,0,0.0002,2,10687,0,0.0002,2,12808,0,0.0001,2,14574,0,0.0001,3,16016,1,0.0001,3,17507,1,0.0002,4,18942,1,0.0001,4,20367,1,0.0002,5,21649,1,0.0002,6,22154,1,0.0007,17,22672,1,0.0007,18,23060,1
https://openalex.org/W1273397985,-0.0035,0,1129,4,-0.0021,1,2375,6,-0.0025,1,3600,10,-0.0035,1,5105,19,-0.0029,2,6638,21,-0.0029,2,8125,26,-0.003,2,9628,31,-0.003,4,11048,37,-0.0033,4,12482,45,-0.0031,4,14090,48,-0.0028,5,16623,51,-0.0028,5,19030,59,-0.0028,5,20877,63,-0.0026,5,22658,65,-0.0024,6,24142,65
https://openalex.org/W135997023,-0.0005,0,1941,1,-0.0002,0,4187,1,-0.0002,0,6536,1,-0.0002,0,9082,2,-0.0001,2,11656,3,-0.0001,4,14345,6,-0.0001,5,16715,7,-0.0001,6,18933,7,-0.0001,6,21389,8,-0.0001,7,23923,9,0.0,9,26689,9,0.0,10,29739,10,0.0,11,32568,10,0.0,12,35488,11,0.0001,13,38114,11
https://openalex.org/W138313144,0.0,0,1808,0,-0.0003,0,3768,1,-0.0005,0,5741,3,-0.0004,0,7653,3,-0.0006,0,9608,6,-0.0009,0,11628,11,-0.0008,1,13465,12,-0.0007,1,15257,12,-0.0009,1,17008,16,-0.0009,1,18645,17,-0.0009,1,20493,19,-0.0009,1,22333,21,-0.0009,1,23696,22,-0.0014,2,25034,37,-0.0014,2,26143,38
https://openalex.org/W141544107,-0.0,1,207355,9,-0.0,2,434221,16,-0.0,3,678033,33,-0.0,4,940487,46,-0.0,8,1228282,62,-0.0,9,1507808,79,-0.0,11,1759338,94,-0.0,13,1991027,106,-0.0,18,2198397,117,-0.0,21,2413059,127,-0.0,25,2645244,137,-0.0,31,2852033,143,-0.0,35,2861648,151,-0.0,37,2870059,157,-0.0,39,2876722,162
https://openalex.org/W1418827831,0.0001,1,9428,0,0.0,2,20657,1,-0.0001,2,32572,5,-0.0002,3,45504,11,-0.0002,3,59624,13,-0.0002,3,74216,18,-0.0002,3,88033,19,-0.0002,4,101794,23,-0.0002,5,116239,26,-0.0002,6,131398,28,-0.0001,8,148065,28,-0.0001,10,166710,30,-0.0001,10,181433,30,-0.0001,10,195942,30,-0.0001,10,210615,30
