focal_id,A_cum_foreign_ratio,C_cum_foreign_ratio
https://openalex.org/W1991971356,0.4286,0.0
https://openalex.org/W1992711263,0.0,0.0
https://openalex.org/W1992719188,0.5,
https://openalex.org/W1992818446,0.5,0.5
https://openalex.org/W1993316688,1.0,
https://openalex.org/W1993745602,0.6,0.6667
https://openalex.org/W1994000270,0.25,
https://openalex.org/W1994033055,1.0,1.0
https://openalex.org/W1994174994,0.5,0.0
https://openalex.org/W1994201446,0.25,
https://openalex.org/W1994528974,0.3333,1.0
https://openalex.org/W1994805899,0.6,0.0
https://openalex.org/W1995313155,0.3333,0.0
https://openalex.org/W1996021822,0.0,1.0
https://openalex.org/W1996148434,0.3333,0.0
https://openalex.org/W1996189363,0.1429,0.3333
https://openalex.org/W1996472974,0.2778,0.3333
https://openalex.org/W1996546452,0.0,
https://openalex.org/W1996958930,0.0455,0.6
https://openalex.org/W1997020049,0.75,
https://openalex.org/W1997068125,0.0,
https://openalex.org/W1997173798,0.0,
https://openalex.org/W1997365507,0.6042,0.36
https://openalex.org/W1997529716,0.4,0.0
https://openalex.org/W1998268563,0.5,
https://openalex.org/W1998319635,0.3333,0.3333
https://openalex.org/W1998544780,1.0,
https://openalex.org/W1998960900,0.2857,0.0
https://openalex.org/W1999059049,1.0,
https://openalex.org/W1999092572,0.3333,
https://openalex.org/W1999104902,0.25,0.0
https://openalex.org/W1999428144,0.125,0.0
https://openalex.org/W2000112833,0.3333,
https://openalex.org/W2000406585,0.0909,0.25
https://openalex.org/W2000682629,0.0,
https://openalex.org/W2000716595,0.5,0.0
https://openalex.org/W2001094322,0.0,
https://openalex.org/W2001660077,0.5,
https://openalex.org/W2002011071,0.0,
https://openalex.org/W2002350536,0.2,0.0
https://openalex.org/W2002396731,0.25,0.0
https://openalex.org/W2002488409,0.0,0.0
https://openalex.org/W2003291965,0.375,0.2
https://openalex.org/W2004043788,0.0,0.0
https://openalex.org/W2004616133,0.5,
https://openalex.org/W2004635495,0.3333,
https://openalex.org/W2004899435,0.0,0.0
https://openalex.org/W2005198731,1.0,0.5
https://openalex.org/W2005728720,1.0,
https://openalex.org/W2006133795,0.5,
https://openalex.org/W2006207466,0.5,0.3333
https://openalex.org/W2006271697,0.0769,0.0
https://openalex.org/W2006274918,0.5,1.0
https://openalex.org/W2006339179,1.0,
https://openalex.org/W2006566651,1.0,1.0
