focal_id,DI_y1,A_y1,B_y1,C_y1,DI_y2,A_y2,B_y2,C_y2,DI_y3,A_y3,B_y3,C_y3,DI_y4,A_y4,B_y4,C_y4,DI_y5,A_y5,B_y5,C_y5,DI_y6,A_y6,B_y6,C_y6,DI_y7,A_y7,B_y7,C_y7,DI_y8,A_y8,B_y8,C_y8,DI_y9,A_y9,B_y9,C_y9,DI_y10,A_y10,B_y10,C_y10,DI_y11,A_y11,B_y11,C_y11,DI_y12,A_y12,B_y12,C_y12,DI_y13,A_y13,B_y13,C_y13,DI_y14,A_y14,B_y14,C_y14,DI_y15,A_y15,B_y15,C_y15,DI_y3_top5,DI_y4_top5,DI_y5_top5,DI_y6_top5,DI_y7_top5,DI_y8_top5,DI_y9_top5,DI_y10_top5,DI_y11_top5,DI_y12_top5,DI_y13_top5,DI_y14_top5,DI_y15_top5,years_in_top5,first_year_top5,last_year_top5
https://openalex.org/W3124016008,0.2727,3,8,0,0.15,5,13,2,0.0909,6,24,3,0.119,8,31,3,0.0845,9,59,3,0.0889,11,76,3,0.0825,12,81,4,0.0762,13,87,5,0.0877,15,94,5,0.0826,16,99,6,0.0698,16,106,7,0.0815,18,110,7,0.0797,18,113,7,0.0748,18,122,7,0.0724,18,127,7,True,True,True,True,True,True,True,True,True,True,True,True,True,13,DI_y3_top5,DI_y15_top5
https://openalex.org/W3124025019,0.0,0,322,0,0.0091,6,650,0,0.007,8,995,1,0.0044,9,1352,3,0.004,11,1719,4,0.0042,14,2145,5,0.006,21,2619,5,0.0041,22,3105,9,0.003,24,3577,13,0.0027,26,4040,15,0.0027,29,4446,17,0.0022,30,4860,19,0.0017,30,5190,21,0.0018,33,5493,23,0.0019,37,5826,26,True,False,False,False,False,False,False,False,False,False,False,False,False,1,DI_y3_top5,DI_y3_top5
https://openalex.org/W3124076038,0.0156,2,61,1,-0.024,5,112,8,0.0411,19,190,10,0.0698,35,267,13,0.0741,45,345,15,0.0783,58,421,19,0.09,73,496,20,0.0867,81,590,21,0.0872,91,666,23,0.0876,100,756,23,0.0867,107,826,24,0.0822,109,901,24,0.0816,113,954,24,0.0803,118,1015,25,0.0772,120,1085,25,True,True,True,True,True,True,True,True,True,True,True,True,True,13,DI_y3_top5,DI_y15_top5
https://openalex.org/W3124092583,-0.0357,0,27,1,-0.0222,0,44,1,-0.0154,0,64,1,-0.011,0,90,1,-0.0097,0,102,1,0.0,1,118,1,0.0077,2,127,1,0.02,4,145,1,0.0186,4,156,1,0.0173,4,168,1,0.0164,4,178,1,0.0155,4,188,1,0.0195,5,199,1,0.023,6,210,1,0.0225,6,215,1,False,False,False,False,True,True,True,True,True,True,True,True,True,9,DI_y7_top5,DI_y15_top5
https://openalex.org/W3124180953,0.0,0,44,0,0.0,0,91,0,0.0,0,152,0,0.0049,1,203,0,0.0195,5,252,0,0.0197,6,298,0,0.0142,6,344,1,0.0102,6,384,2,0.0118,7,414,2,0.0157,9,436,2,0.0149,9,460,2,0.014,9,488,2,0.0135,9,508,2,0.0121,9,569,2,0.0134,10,585,2,False,False,True,True,True,True,True,True,True,True,True,True,True,11,DI_y5_top5,DI_y15_top5
https://openalex.org/W3124336448,0.0091,1,109,0,-0.0102,1,193,3,0.0033,5,295,4,0.0137,11,421,5,0.0125,12,543,5,0.0201,22,665,8,0.0167,23,804,9,0.0113,24,939,13,0.0119,28,1052,15,0.0122,31,1184,16,0.011,34,1310,19,0.012,37,1439,19,0.011,38,1574,20,0.0115,40,1685,20,0.0121,43,1843,20,False,True,True,True,True,True,True,True,True,True,True,True,True,12,DI_y4_top5,DI_y15_top5
https://openalex.org/W3124388301,0.0575,5,82,0,0.0485,11,194,1,0.0217,11,308,4,0.0187,14,461,5,0.019,17,608,5,0.014,18,763,7,0.0138,20,917,7,0.0146,23,1063,7,0.015,26,1237,7,0.0145,28,1409,7,0.0143,31,1575,8,0.0148,34,1715,8,0.0157,38,1870,8,0.0156,40,2003,8,0.0145,40,2162,8,True,True,True,True,True,True,True,True,True,True,True,True,True,13,DI_y3_top5,DI_y15_top5
https://openalex.org/W3124445702,0.0,0,15,0,0.027,1,36,0,0.0323,2,60,0,0.0238,2,82,0,0.0099,2,98,1,0.0072,2,136,1,0.0055,2,178,1,0.0048,2,206,1,0.0084,3,233,1,0.0078,3,253,1,0.0073,3,270,1,0.0034,3,292,2,0.0,3,312,3,-0.003,3,328,4,0.0,4,355,4,True,True,True,True,False,False,True,True,False,False,False,False,False,6,DI_y3_top5,DI_y10_top5
https://openalex.org/W3124475441,0.0,0,80,0,0.0,0,136,0,0.0094,3,208,1,0.0071,3,279,1,0.0027,3,360,2,0.0045,4,438,2,0.0019,4,525,3,-0.0049,5,603,8,-0.0042,6,699,9,0.0,9,780,9,0.0,9,851,9,0.0011,10,924,9,-0.0019,13,1011,15,-0.0018,14,1088,16,-0.0025,15,1176,18,True,True,False,False,False,False,False,False,False,False,False,False,False,2,DI_y3_top5,DI_y4_top5
https://openalex.org/W3124490848,0.0417,3,69,0,-0.0224,5,208,10,-0.0148,10,313,15,-0.0021,15,452,16,0.0046,21,616,18,0.0109,27,783,18,0.0113,30,928,19,0.0122,35,1096,21,0.0103,36,1305,22,0.0116,40,1489,22,0.0128,45,1656,23,0.0119,45,1788,23,0.012,47,1934,23,0.0127,51,2059,24,0.0133,55,2180,25,False,False,False,True,True,True,True,True,True,True,True,True,True,10,DI_y6_top5,DI_y15_top5
