new_word,new_word_reuse,new_phrase,new_phrase_reuse,new_word_comb,new_word_comb_reuse,new_phrase_comb,new_phrase_comb_reuse,semantic_distance,n_words,n_phrases,has_abstract,focal_id
0,0,0,0,7,29,6,16,0.2077432870864868,28,7,1,https://openalex.org/W1604454030
0,0,0,0,0,0,0,0,0.1530777215957641,2,0,1,https://openalex.org/W2027163855
0,0,0,0,0,0,0,0,0.2458523511886596,14,4,1,https://openalex.org/W2046939791
0,0,0,0,16,72,6,185,0.1496051549911499,41,8,1,https://openalex.org/W2065937486
0,0,0,0,0,0,4,20,0.144910454750061,21,5,1,https://openalex.org/W2132522811
0,0,0,0,49,342,10,42,0.1756181120872497,57,12,1,https://openalex.org/W2335170121
0,0,1,12,5,33,4,21,0.1568158864974975,35,7,1,https://openalex.org/W1988196361
0,0,1,2,0,0,0,0,0.1759581565856933,13,2,1,https://openalex.org/W4246999810
0,0,0,0,0,0,0,0,0.2381030321121216,6,2,1,https://openalex.org/W1968817361
0,0,1,4,0,0,1,3,0.1949065790757976,8,3,0,https://openalex.org/W1975987200
0,0,0,0,0,0,0,0,0.2017891407012939,10,2,0,https://openalex.org/W1564684139
0,0,0,0,0,0,0,0,0.1173577308654785,6,1,1,https://openalex.org/W1582424333
0,0,0,0,0,0,1,3,0.1889728307723999,32,3,1,https://openalex.org/W1982877118
0,0,0,0,15,92,8,30,0.1649996042251587,29,11,1,https://openalex.org/W1998544780
0,0,0,0,0,0,7,41,0.1784007549285888,52,10,1,https://openalex.org/W1969481673
0,0,0,0,0,0,0,0,0.2091977000236511,4,0,1,https://openalex.org/W2025671165
0,0,0,0,0,0,4,13,0.0744444727897644,25,7,1,https://openalex.org/W2126368033
0,0,1,7,0,0,3,8,0.1794103980064392,50,6,1,https://openalex.org/W1976233442
0,0,0,0,5,62,10,115,0.1349570155143737,45,10,1,https://openalex.org/W2110061657
0,0,0,0,10,58,3,9,0.180032730102539,35,9,1,https://openalex.org/W2160035181
0,0,0,0,9,83,2,5,0.275177001953125,27,6,1,https://openalex.org/W1988824047
0,0,0,0,1,7,2,31,0.1905366778373718,26,4,1,https://openalex.org/W2006339179
0,0,0,0,14,606,4,11,0.2068687677383422,22,6,1,https://openalex.org/W2317791422
0,0,1,4,2,4,0,0,0.1719323992729187,22,5,1,https://openalex.org/W2324178358
1,33,0,0,28,131,19,128,0.1917284727096557,38,11,1,https://openalex.org/W2603599440
