work_id,n_authors,n_affiliations,n_countries,countries,is_international
https://openalex.org/W122671926,3,3,0,,0
https://openalex.org/W127958452,2,2,1,BR,0
https://openalex.org/W134252754,3,3,0,,0
https://openalex.org/W1481578427,4,7,2,"DE,PL",1
https://openalex.org/W1481894647,2,2,1,KR,0
https://openalex.org/W1484223719,3,6,2,"FR,PL",1
https://openalex.org/W1487783502,15,19,4,"DE,HU,PL,RU",1
https://openalex.org/W1488186435,4,4,1,KR,0
https://openalex.org/W1491327455,7,7,1,TW,0
https://openalex.org/W1493392221,2,4,2,"GB,PL",1
https://openalex.org/W1496893605,5,5,1,US,0
https://openalex.org/W1499585603,7,7,1,JP,0
https://openalex.org/W1500063656,2,2,1,AU,0
https://openalex.org/W1500387408,1,1,0,,0
https://openalex.org/W1501323942,4,4,0,,0
https://openalex.org/W1503778604,7,7,1,US,0
https://openalex.org/W1504067081,8,8,1,US,0
https://openalex.org/W1504109566,4,4,1,US,0
https://openalex.org/W1506126356,3,3,1,JP,0
https://openalex.org/W1507049374,4,6,2,"RU,SE",1
https://openalex.org/W1508235409,4,4,1,US,0
https://openalex.org/W1513081937,2,2,0,,0
https://openalex.org/W1514545135,9,9,1,TW,0
https://openalex.org/W1517942956,4,4,1,US,0
https://openalex.org/W1518237432,3,3,1,JP,0
https://openalex.org/W1519452692,2,4,3,"DE,RU,TJ",1
https://openalex.org/W1523109231,3,3,1,DE,0
https://openalex.org/W1524206411,4,7,1,DE,0
https://openalex.org/W1530343546,8,8,1,JP,0
https://openalex.org/W1531153384,6,6,1,US,0
https://openalex.org/W1531347441,3,3,1,JP,0
https://openalex.org/W1533978004,4,8,1,HU,0
https://openalex.org/W1535502972,6,7,2,"CN,GB",1
https://openalex.org/W1543488641,7,7,1,US,0
https://openalex.org/W1546973712,4,4,1,CN,0
https://openalex.org/W1551067740,7,7,1,TW,0
https://openalex.org/W1552715661,7,9,2,"FR,GB",1
https://openalex.org/W1554828773,5,9,2,"ES,FR",1
https://openalex.org/W1556287528,6,6,1,KR,0
https://openalex.org/W1556767293,6,6,1,JP,0
https://openalex.org/W1557306790,8,8,1,JP,0
https://openalex.org/W1561577657,3,6,1,FR,0
https://openalex.org/W1561635925,4,8,1,US,0
https://openalex.org/W1561799423,4,4,1,IN,0
https://openalex.org/W1561864154,2,2,1,IN,0
https://openalex.org/W1563057046,5,10,1,US,0
https://openalex.org/W1564105795,3,3,1,IT,0
https://openalex.org/W1573506759,3,3,1,IN,0
https://openalex.org/W1574013347,2,2,0,,0
https://openalex.org/W1575703057,8,8,1,CN,0
https://openalex.org/W1577197842,4,4,1,RU,0
