work_id,author_position,author_id,author_name,author_orcid,institution_id,institution_name,institution_country,prior_pubs_before_1999
https://openalex.org/W1975494471,first,https://openalex.org/A5090082947,Thomas S. Kickler,https://orcid.org/0000-0002-9797-2556,https://openalex.org/I4210150714,Johns Hopkins Hospital,US,80
https://openalex.org/W2094606057,first,https://openalex.org/A5104000860,C. W. Ng,,https://openalex.org/I141568987,Hong Kong Baptist University,HK,9
https://openalex.org/W2094606057,last,https://openalex.org/A5031554189,N. H. Cheung,https://orcid.org/0000-0002-6951-7142,https://openalex.org/I141568987,Hong Kong Baptist University,HK,28
https://openalex.org/W1966375535,first,https://openalex.org/A5037071085,M. McCartney,,https://openalex.org/I4389425310,Scottish Universities Press,,37
https://openalex.org/W1966375535,first,https://openalex.org/A5037071085,M. McCartney,,https://openalex.org/I4210160559,Scottish Universities Environmental Research Centre,GB,37
https://openalex.org/W1966375535,middle,https://openalex.org/A5072821326,Valérie Olive,,https://openalex.org/I4389425310,Scottish Universities Press,,5
https://openalex.org/W1966375535,middle,https://openalex.org/A5072821326,Valérie Olive,,https://openalex.org/I4210160559,Scottish Universities Environmental Research Centre,GB,5
https://openalex.org/W1966375535,last,https://openalex.org/A5070204887,E. M. Scott,https://orcid.org/0000-0002-3709-0623,https://openalex.org/I7882870,University of Glasgow,GB,57
https://openalex.org/W1995591796,first,https://openalex.org/A5111603827,Guo-Quan Gong,,https://openalex.org/I76214153,Lanzhou University,CN,0
https://openalex.org/W1995591796,middle,https://openalex.org/A5109106011,Zong Zhi-xin,,https://openalex.org/I68986083,Northwest Normal University,CN,0
https://openalex.org/W1995591796,last,https://openalex.org/A5101593487,Yumin Song,https://orcid.org/0009-0006-4714-1080,https://openalex.org/I68986083,Northwest Normal University,CN,0
https://openalex.org/W2167481684,first,https://openalex.org/A5014344455,Munetaka Kunishima,https://orcid.org/0000-0002-3296-490X,https://openalex.org/I27650515,Kobe Gakuin University,JP,33
https://openalex.org/W2167481684,middle,https://openalex.org/A5026679763,Chiho Kawachi,,https://openalex.org/I27650515,Kobe Gakuin University,JP,0
https://openalex.org/W2167481684,middle,https://openalex.org/A5018567577,Fumiaki Iwasaki,,https://openalex.org/I1315201533,Tokuyama (Japan),JP,9
https://openalex.org/W2167481684,middle,https://openalex.org/A5046065567,Keiji Terao,,,"Wacker Chemicals East Asia Ltd., 2-14-1 Nishi-Waseda, Shinjuku-ku, Tokyo, 169-0051, Japan",,95
https://openalex.org/W2167481684,last,https://openalex.org/A5110057361,Shohei Tani,,https://openalex.org/I27650515,Kobe Gakuin University,JP,33
https://openalex.org/W2045321159,first,https://openalex.org/A5110718445,L. Cortez,,https://openalex.org/I4210117046,Instituto Português Da Qualidade,PT,4
https://openalex.org/W1682777897,first,https://openalex.org/A5031214049,Licia Minervini,,https://openalex.org/I47508984,Imperial College London,GB,0
https://openalex.org/W2131260498,first,https://openalex.org/A5112275575,Kazuo Kitaura,,https://openalex.org/I15807432,Osaka Prefecture University,JP,66
https://openalex.org/W2131260498,middle,https://openalex.org/A5033447294,Takuya Sawai,,https://openalex.org/I15807432,Osaka Prefecture University,JP,0
https://openalex.org/W2131260498,middle,https://openalex.org/A5003748958,Toshio Asada,https://orcid.org/0000-0001-8684-0251,https://openalex.org/I15807432,Osaka Prefecture University,JP,63
https://openalex.org/W2131260498,middle,https://openalex.org/A5103077679,Tatsuya Nakano,https://orcid.org/0000-0001-9928-5269,https://openalex.org/I4210151964,National Institute of Health Sciences,JP,16
https://openalex.org/W2131260498,last,https://openalex.org/A5016442665,Masami Uebayasi,,https://openalex.org/I73613424,National Institute of Advanced Industrial Science and Technology,JP,33
https://openalex.org/W1966372778,first,https://openalex.org/A5101535637,Renato Iori,https://orcid.org/0000-0003-0758-9367,https://openalex.org/I4210166234,Research Centre for Cereal and Industrial Crops,IT,22
https://openalex.org/W1966372778,middle,https://openalex.org/A5091137562,R. Bernardi,,https://openalex.org/I4210166234,Research Centre for Cereal and Industrial Crops,IT,10
https://openalex.org/W1966372778,middle,https://openalex.org/A5062849916,David Gueyrard,https://orcid.org/0000-0002-9657-3836,https://openalex.org/I12449238,Université d'Orléans,FR,0
https://openalex.org/W1966372778,middle,https://openalex.org/A5062849916,David Gueyrard,https://orcid.org/0000-0002-9657-3836,https://openalex.org/I4210141565,Institut de Chimie Organique et Analytique,FR,0
https://openalex.org/W1966372778,middle,https://openalex.org/A5101575810,Patrick Rollin,https://orcid.org/0000-0001-5951-9614,https://openalex.org/I12449238,Université d'Orléans,FR,119
https://openalex.org/W1966372778,middle,https://openalex.org/A5101575810,Patrick Rollin,https://orcid.org/0000-0001-5951-9614,https://openalex.org/I4210141565,Institut de Chimie Organique et Analytique,FR,119
https://openalex.org/W1966372778,last,https://openalex.org/A5021837810,Sandro Palmieri,,https://openalex.org/I4210166234,Research Centre for Cereal and Industrial Crops,IT,49
https://openalex.org/W2078798833,first,https://openalex.org/A5057809390,Gilbert N. Belofsky,,https://openalex.org/I150209017,Scripps Institution of Oceanography,US,13
https://openalex.org/W2078798833,first,https://openalex.org/A5057809390,Gilbert N. Belofsky,,https://openalex.org/I36258959,"University of California, San Diego",US,13
https://openalex.org/W2078798833,middle,https://openalex.org/A5067356378,Paul R. Jensen,https://orcid.org/0000-0003-2349-1888,https://openalex.org/I150209017,Scripps Institution of Oceanography,US,53
https://openalex.org/W2078798833,middle,https://openalex.org/A5067356378,Paul R. Jensen,https://orcid.org/0000-0003-2349-1888,https://openalex.org/I36258959,"University of California, San Diego",US,53
https://openalex.org/W2078798833,last,https://openalex.org/A5017229836,William Fenical,https://orcid.org/0000-0002-8955-1735,https://openalex.org/I36258959,"University of California, San Diego",US,348
https://openalex.org/W2078798833,last,https://openalex.org/A5017229836,William Fenical,https://orcid.org/0000-0002-8955-1735,https://openalex.org/I150209017,Scripps Institution of Oceanography,US,348
https://openalex.org/W1973920374,first,https://openalex.org/A5014131092,Hiromi Egawa,,https://openalex.org/I146399215,University of Tsukuba,JP,1
https://openalex.org/W1973920374,last,https://openalex.org/A5007052169,Kunio Furusawa,,https://openalex.org/I146399215,University of Tsukuba,JP,98
https://openalex.org/W4235643989,first,https://openalex.org/A5056601293,Paul G. Mezey,https://orcid.org/0000-0001-7245-5141,https://openalex.org/I32625721,University of Saskatchewan,CA,324
https://openalex.org/W4235643989,first,https://openalex.org/A5056601293,Paul G. Mezey,https://orcid.org/0000-0001-7245-5141,https://openalex.org/I4210099710,Collegium Budapest,HU,324
https://openalex.org/W1968715299,first,https://openalex.org/A5100453281,Haitao Li,https://orcid.org/0000-0001-6741-293X,https://openalex.org/I36258959,"University of California, San Diego",US,2
https://openalex.org/W1968715299,first,https://openalex.org/A5100453281,Haitao Li,https://orcid.org/0000-0001-6741-293X,https://openalex.org/I20231570,Peking University,CN,2
https://openalex.org/W1968715299,middle,https://openalex.org/A5101478255,Xiaohui Jiang,https://orcid.org/0000-0001-5165-1442,https://openalex.org/I36258959,"University of California, San Diego",US,1
https://openalex.org/W1968715299,middle,https://openalex.org/A5101478255,Xiaohui Jiang,https://orcid.org/0000-0001-5165-1442,https://openalex.org/I20231570,Peking University,CN,1
https://openalex.org/W1968715299,middle,https://openalex.org/A5085557531,Yun‐Hua Ye,https://orcid.org/0000-0001-7420-4872,https://openalex.org/I20231570,Peking University,CN,16
https://openalex.org/W1968715299,middle,https://openalex.org/A5085557531,Yun‐Hua Ye,https://orcid.org/0000-0001-7420-4872,https://openalex.org/I36258959,"University of California, San Diego",US,16
https://openalex.org/W1968715299,middle,https://openalex.org/A5112045663,Chongxu Fan,,https://openalex.org/I20231570,Peking University,CN,3
https://openalex.org/W1968715299,middle,https://openalex.org/A5112045663,Chongxu Fan,,https://openalex.org/I36258959,"University of California, San Diego",US,3
https://openalex.org/W1968715299,middle,https://openalex.org/A5023561134,Todd T. Romoff,https://orcid.org/0000-0003-3611-6745,https://openalex.org/I36258959,"University of California, San Diego",US,13
https://openalex.org/W1968715299,middle,https://openalex.org/A5023561134,Todd T. Romoff,https://orcid.org/0000-0003-3611-6745,https://openalex.org/I20231570,Peking University,CN,13
https://openalex.org/W1968715299,last,https://openalex.org/A5111705208,Murray Goodman,,https://openalex.org/I36258959,"University of California, San Diego",US,526
https://openalex.org/W1968715299,last,https://openalex.org/A5111705208,Murray Goodman,,https://openalex.org/I20231570,Peking University,CN,526
https://openalex.org/W2023706421,first,https://openalex.org/A5111899455,Karl‐Werner Glombitza,,https://openalex.org/I135140700,University of Bonn,DE,50
https://openalex.org/W2023706421,last,https://openalex.org/A5021468960,A. H. SCHMIDT,https://orcid.org/0000-0001-9262-0941,https://openalex.org/I135140700,University of Bonn,DE,54
https://openalex.org/W52485495,first,https://openalex.org/A5112829525,C. H. Cho,,https://openalex.org/I12315562,Texas Tech University,US,1
https://openalex.org/W52485495,first,https://openalex.org/A5112829525,C. H. Cho,,https://openalex.org/I4210090401,Quantum Group (United States),US,1
https://openalex.org/W52485495,middle,https://openalex.org/A5010209666,Jacob Urquidi,,https://openalex.org/I4210090401,Quantum Group (United States),US,3
https://openalex.org/W52485495,middle,https://openalex.org/A5010209666,Jacob Urquidi,,https://openalex.org/I12315562,Texas Tech University,US,3
https://openalex.org/W52485495,middle,https://openalex.org/A5113840735,S. Singh,,https://openalex.org/I4210090401,Quantum Group (United States),US,11
https://openalex.org/W52485495,middle,https://openalex.org/A5113840735,S. Singh,,https://openalex.org/I12315562,Texas Tech University,US,11
https://openalex.org/W52485495,last,https://openalex.org/A5103418400,G. Wilse Robinson,,https://openalex.org/I4210090401,Quantum Group (United States),US,106
https://openalex.org/W52485495,last,https://openalex.org/A5103418400,G. Wilse Robinson,,https://openalex.org/I12315562,Texas Tech University,US,106
https://openalex.org/W2035586968,first,https://openalex.org/A5104071268,Hironori Tsutsui,,https://openalex.org/I74801974,The University of Tokyo,JP,5
https://openalex.org/W2035586968,last,https://openalex.org/A5065704890,Koichi Narasaka,,https://openalex.org/I74801974,The University of Tokyo,JP,313
https://openalex.org/W2011331489,first,https://openalex.org/A5112447411,Toshio Isobe,,,"Central Research Laboratory, Shiratori Pharmaceutical Co. Ltd., 6-11-24 Tsudanuma, Narashino, Chiba 275-0016, Japan",,7
https://openalex.org/W2011331489,last,https://openalex.org/A5073408022,Tsutomu Ishikawa,https://orcid.org/0000-0003-4516-153X,https://openalex.org/I159385669,Chiba University,JP,210
https://openalex.org/W2064907486,first,https://openalex.org/A5014523481,Erzsébet Andrási,,https://openalex.org/I106118109,Eötvös Loránd University,HU,9
https://openalex.org/W2064907486,middle,https://openalex.org/A5005362079,Sarolta Igaz,,https://openalex.org/I106118109,Eötvös Loránd University,HU,3
https://openalex.org/W2064907486,middle,https://openalex.org/A5025373939,Norbert Szoboszlai,https://orcid.org/0000-0002-3991-3996,https://openalex.org/I106118109,Eötvös Loránd University,HU,1
https://openalex.org/W2064907486,middle,https://openalex.org/A5082992648,Eszter Borbála Farkas,https://orcid.org/0009-0009-5946-1999,https://openalex.org/I106118109,Eötvös Loránd University,HU,5
https://openalex.org/W2064907486,last,https://openalex.org/A5036499008,Zsolt Ajtony,https://orcid.org/0000-0002-6484-5147,https://openalex.org/I140275651,University of Pannonia,HU,4
https://openalex.org/W2063037014,first,https://openalex.org/A5077134287,Xiaoping Zheng,https://orcid.org/0000-0002-2935-9514,,"Department of Chemistry , Zhongshan University , Guangzhou , 510275 , China",,9
https://openalex.org/W2063037014,last,https://openalex.org/A5100838604,Jinyuan Mo,,,"Department of Chemistry , Zhongshan University , Guangzhou , 510275 , China",,11
https://openalex.org/W1965455036,first,https://openalex.org/A5103138902,Pierre R. Bérubé,https://orcid.org/0000-0002-1122-0530,https://openalex.org/I141945490,University of British Columbia,CA,1
https://openalex.org/W1965455036,middle,https://openalex.org/A5025289869,P. Parkinson,,https://openalex.org/I141945490,University of British Columbia,CA,2
https://openalex.org/W1965455036,last,https://openalex.org/A5107634571,Eric R. Hall,https://orcid.org/0000-0002-6552-6965,https://openalex.org/I141945490,University of British Columbia,CA,58
https://openalex.org/W2088248218,first,https://openalex.org/A5030212364,P. Argyropoulos,,https://openalex.org/I84884186,Newcastle University,GB,2
https://openalex.org/W2088248218,middle,https://openalex.org/A5112759164,Keith Scott,,https://openalex.org/I84884186,Newcastle University,GB,103
https://openalex.org/W2088248218,last,https://openalex.org/A5017641444,W.M. Taama,,https://openalex.org/I84884186,Newcastle University,GB,8
https://openalex.org/W2405995117,first,https://openalex.org/A5109560515,J. Růžička,,https://openalex.org/I201448701,University of Washington,US,96
https://openalex.org/W2405995117,last,https://openalex.org/A5050923233,Louis Scampavia,https://orcid.org/0000-0002-7734-0105,,,,4
https://openalex.org/W2005781332,first,https://openalex.org/A5038001768,Jérôme Olive,https://orcid.org/0000-0002-9963-5182,https://openalex.org/I1294671590,Centre National de la Recherche Scientifique,FR,4
https://openalex.org/W2005781332,first,https://openalex.org/A5038001768,Jérôme Olive,https://orcid.org/0000-0002-9963-5182,https://openalex.org/I15057530,Université de Bordeaux,FR,4
https://openalex.org/W2005781332,middle,https://openalex.org/A5037328708,J. Ćwiek,https://orcid.org/0000-0003-1829-2067,https://openalex.org/I169333911,Gdańsk University of Technology,PL,2
https://openalex.org/W2005781332,middle,https://openalex.org/A5037328708,J. Ćwiek,https://orcid.org/0000-0003-1829-2067,https://openalex.org/I40413290,University of Gdańsk,PL,2
https://openalex.org/W2005781332,last,https://openalex.org/A5064820120,D. Desjardins,,https://openalex.org/I15057530,Université de Bordeaux,FR,39
https://openalex.org/W2005781332,last,https://openalex.org/A5064820120,D. Desjardins,,https://openalex.org/I1294671590,Centre National de la Recherche Scientifique,FR,39
https://openalex.org/W1976717422,first,https://openalex.org/A5084909377,Jörg Meyer,https://orcid.org/0000-0001-8899-5847,https://openalex.org/I22465464,University of Münster,DE,28
https://openalex.org/W1976717422,last,https://openalex.org/A5058652761,Uwe Kärst,https://orcid.org/0000-0002-1774-6787,https://openalex.org/I22465464,University of Münster,DE,35
https://openalex.org/W1986943652,first,https://openalex.org/A5021394273,Claudio Capiglia,https://orcid.org/0000-0003-1021-8524,https://openalex.org/I25217355,University of Pavia,IT,1
https://openalex.org/W2082402572,first,https://openalex.org/A5112289173,Nathalie Lopez,,https://openalex.org/I1294671590,Centre National de la Recherche Scientifique,FR,3
https://openalex.org/W2082402572,first,https://openalex.org/A5112289173,Nathalie Lopez,,https://openalex.org/I15057530,Université de Bordeaux,FR,3
https://openalex.org/W2082402572,middle,https://openalex.org/A5025059938,M. Cid,https://orcid.org/0000-0003-3899-3362,https://openalex.org/I15057530,Université de Bordeaux,FR,11
https://openalex.org/W2082402572,middle,https://openalex.org/A5025059938,M. Cid,https://orcid.org/0000-0003-3899-3362,https://openalex.org/I1294671590,Centre National de la Recherche Scientifique,FR,11
https://openalex.org/W2082402572,last,https://openalex.org/A5006784926,M. Puiggali,,https://openalex.org/I15057530,Université de Bordeaux,FR,28
https://openalex.org/W2082402572,last,https://openalex.org/A5006784926,M. Puiggali,,https://openalex.org/I1294671590,Centre National de la Recherche Scientifique,FR,28
https://openalex.org/W2103037681,first,https://openalex.org/A5056406555,Hideki Amii,https://orcid.org/0000-0001-8291-8840,,,,17
https://openalex.org/W2103037681,middle,https://openalex.org/A5102827234,Takeshi Kobayashi,https://orcid.org/0000-0003-4029-6363,,,,82
https://openalex.org/W2103037681,middle,https://openalex.org/A5043616117,Yasushi Hatamoto,,,,,0
https://openalex.org/W2103037681,last,https://openalex.org/A5112448815,Kenji Uneyama,,,,,244
https://openalex.org/W2058972001,first,https://openalex.org/A5020019418,Kevin V. Thomas,https://orcid.org/0000-0002-2155-100X,https://openalex.org/I1332124652,"Centre for Environment, Fisheries and Aquaculture Science",GB,73
https://openalex.org/W2070836823,first,https://openalex.org/A5018868386,Petra van de Wetering,,https://openalex.org/I193662353,Utrecht University,NL,6
https://openalex.org/W2070836823,middle,https://openalex.org/A5033278883,Ed E. Moret,,https://openalex.org/I193662353,Utrecht University,NL,9
https://openalex.org/W2070836823,middle,https://openalex.org/A5081803602,N.M.E. Schuurmans-Nieuwenbroek,,https://openalex.org/I193662353,Utrecht University,NL,0
https://openalex.org/W2070836823,middle,https://openalex.org/A5002804492,Mies J. van Steenbergen,https://orcid.org/0000-0003-1578-9983,https://openalex.org/I193662353,Utrecht University,NL,13
https://openalex.org/W2070836823,last,https://openalex.org/A5017735982,Wim E. Hennink,https://orcid.org/0000-0002-5750-714X,https://openalex.org/I193662353,Utrecht University,NL,32
