new_word,new_word_reuse,new_phrase,new_phrase_reuse,new_word_comb,new_word_comb_reuse,new_phrase_comb,new_phrase_comb_reuse,semantic_distance,n_words,n_phrases,has_abstract,focal_id
0,0,0,0,15,61,9,32,0.1436229348182678,11,7,1,https://openalex.org/W2006253622
0,0,0,0,0,0,9,25,0.1308531761169433,35,17,1,https://openalex.org/W2057057564
0,0,0,0,1,7,1,9,0.1564236879348755,12,7,1,https://openalex.org/W2139603738
0,0,1,2,22,67,5,20,0.1816992163658142,40,17,1,https://openalex.org/W2162390513
1,2,1,6,26,364,23,189,0.1324251890182495,37,18,1,https://openalex.org/W1969682610
0,0,0,0,0,0,4,14,0.1576803922653198,23,8,1,https://openalex.org/W2085044539
0,0,1,3,3,8,0,0,0.0886064171791076,18,6,1,https://openalex.org/W2917566289
0,0,0,0,20,84,29,79,0.1627521514892578,27,14,1,https://openalex.org/W2044475602
0,0,0,0,0,0,0,0,0.120481252670288,10,3,1,https://openalex.org/W2004288510
0,0,1,2,20,90,15,51,0.1614018678665161,44,21,1,https://openalex.org/W1990550356
0,0,1,3,47,267,19,76,0.1298720836639404,49,20,1,https://openalex.org/W2060173295
1,2,2,4,33,343,4,8,0.1263145208358764,19,8,1,https://openalex.org/W2153932367
0,0,0,0,10,78,7,76,0.1674964427947998,28,13,1,https://openalex.org/W1979512439
0,0,0,0,3,6,2,4,0.1495863199234008,19,9,1,https://openalex.org/W2145195441
0,0,1,3,18,70,5,11,0.14632248878479,32,19,1,https://openalex.org/W2090355395
0,0,0,0,2,19,1,3,0.0788851976394653,13,4,0,https://openalex.org/W2095145245
0,0,0,0,6,24,7,31,0.121097981929779,31,11,1,https://openalex.org/W1979594300
0,0,1,4,4,21,11,65,0.1402109861373901,35,19,1,https://openalex.org/W2011359763
0,0,0,0,0,0,2,16,0.1815010905265808,24,10,1,https://openalex.org/W2102241124
1,2,0,0,43,334,8,137,0.1002683639526367,30,14,1,https://openalex.org/W1986163849
0,0,0,0,1,8,5,29,0.1121969223022461,14,6,1,https://openalex.org/W2031100554
1,4,2,8,23,64,15,39,0.0927525162696838,35,20,1,https://openalex.org/W2065310423
1,2,0,0,36,140,34,213,0.1397919654846191,51,32,1,https://openalex.org/W2167541320
0,0,0,0,3,6,5,11,0.0841194987297058,16,10,1,https://openalex.org/W1997289610
0,0,1,4,12,47,8,60,0.1415934562683105,19,11,1,https://openalex.org/W2071091850
0,0,1,3,0,0,0,0,0.0648093223571777,6,2,0,https://openalex.org/W1971174865
0,0,0,0,0,0,11,35,0.1357924938201904,37,22,1,https://openalex.org/W2131840754
0,0,0,0,2,7,0,0,0.0313457250595092,24,9,1,https://openalex.org/W2093186986
0,0,0,0,2,4,1,2,0.1032256484031677,16,5,1,https://openalex.org/W2102552942
0,0,0,0,67,1188,25,245,0.1589744687080383,65,21,1,https://openalex.org/W2028463042
0,0,1,10,19,78,26,99,0.1130594611167907,26,20,1,https://openalex.org/W2028612011
0,0,1,2,16,55,3,6,0.0375551581382751,38,15,1,https://openalex.org/W1990015089
0,0,0,0,0,0,0,0,0.0685864686965942,4,1,0,https://openalex.org/W1999520678
0,0,0,0,4,33,17,64,0.2405479512049906,30,15,1,https://openalex.org/W2032558110
0,0,0,0,15,99,12,58,0.1766909281159037,44,25,1,https://openalex.org/W2201144609
0,0,0,0,16,354,26,353,0.1067251563072204,53,23,1,https://openalex.org/W2094560758
0,0,0,0,6,21,17,81,0.1085729598999023,35,13,1,https://openalex.org/W2148905569
0,0,0,0,6,14,15,65,0.1421265602111816,50,19,1,https://openalex.org/W2159672615
0,0,0,0,8,25,13,31,0.0549955368041992,28,16,1,https://openalex.org/W1997857531
0,0,1,5,41,173,25,98,0.1037270426750183,35,17,1,https://openalex.org/W2021685055
1,5,2,7,58,339,53,243,0.0998655557632446,45,26,1,https://openalex.org/W2031028483
1,3,1,3,34,127,27,292,0.1001569032669067,29,18,1,https://openalex.org/W2058131666
0,0,1,2,13,95,8,16,0.1637209057807922,23,11,1,https://openalex.org/W2045446292
0,0,2,10,7,44,2,7,0.1285370588302612,21,12,1,https://openalex.org/W2103408691
0,0,3,23,8,95,48,302,0.0972113013267517,45,26,1,https://openalex.org/W2055036254
1,3,1,2,44,182,20,62,0.151573359966278,34,20,1,https://openalex.org/W2057328528
0,0,0,0,11,24,8,27,0.1348660588264465,37,15,1,https://openalex.org/W2108597272
0,0,0,0,9,37,15,44,0.0860676765441894,36,19,1,https://openalex.org/W1976214635
2,5,2,39,87,7715,35,1053,0.2516958713531494,76,29,1,https://openalex.org/W1982174878
0,0,4,32,45,158,50,136,0.1403783559799194,59,37,1,https://openalex.org/W2073036011
0,0,2,10,10,48,0,0,0.1052160263061523,19,9,1,https://openalex.org/W2081544614
0,0,0,0,3,17,3,8,0.236302375793457,29,7,1,https://openalex.org/W2138556983
0,0,0,0,0,0,19,57,0.1396223306655883,28,18,1,https://openalex.org/W1966281257
0,0,3,8,7,61,53,239,0.0976588726043701,56,29,1,https://openalex.org/W2003957386
0,0,0,0,11,35,12,35,0.1760753989219665,48,18,1,https://openalex.org/W2029322477
0,0,0,0,83,409,56,302,0.1315956711769104,63,27,1,https://openalex.org/W2120537134
0,0,0,0,7,65,4,31,0.1708592772483825,15,8,1,https://openalex.org/W2070538436
1,2,3,7,47,374,28,268,0.1029441356658935,36,20,1,https://openalex.org/W2073328590
0,0,0,0,5,27,6,36,0.1801047325134277,24,13,1,https://openalex.org/W2102426680
0,0,5,33,76,361,8,20,0.1441781520843506,53,24,1,https://openalex.org/W2111979255
0,0,0,0,4,72,7,20,0.1527045369148254,37,12,1,https://openalex.org/W2063889350
0,0,0,0,10,55,17,57,0.1328744888305664,54,23,1,https://openalex.org/W2120466026
0,0,6,18,42,202,34,97,0.2061184048652649,49,29,1,https://openalex.org/W2159249218
0,0,1,7,63,232,60,370,0.1317465305328369,59,35,1,https://openalex.org/W2166129178
0,0,0,0,4,17,14,59,0.107287049293518,33,21,1,https://openalex.org/W2200984664
0,0,0,0,14,604,16,91,0.0953734517097473,21,14,1,https://openalex.org/W2005466001
0,0,0,0,0,0,0,0,0.0841848850250244,4,2,0,https://openalex.org/W2017870326
0,0,1,3,10,40,11,34,0.113372802734375,38,17,1,https://openalex.org/W2021465248
