focal_id,pub_year,delay_year,home,foreign,unknown
https://openalex.org/W1975070776,2004,0,8,1,0
https://openalex.org/W1975499808,2004,4,2,6,16
https://openalex.org/W1975786683,2004,0,3,0,8
https://openalex.org/W1975867198,2004,11,35,8,12
https://openalex.org/W1976155241,2004,1,4,2,3
https://openalex.org/W1976263950,2004,0,7,3,6
https://openalex.org/W1976434954,2004,4,0,1,1
https://openalex.org/W1976867512,2004,0,1,1,1
https://openalex.org/W1977121870,2004,12,8,5,1
https://openalex.org/W1977161640,2004,7,38,34,21
https://openalex.org/W1977553010,2004,0,0,0,3
https://openalex.org/W1977607860,2004,0,1,0,1
https://openalex.org/W1977608529,2004,0,3,3,4
https://openalex.org/W1977796226,2004,0,4,2,5
https://openalex.org/W1977971719,2004,0,2,1,2
https://openalex.org/W1978075503,2004,2,0,0,1
https://openalex.org/W1978089362,2004,0,1,0,0
https://openalex.org/W1978314647,2004,0,1,2,0
https://openalex.org/W1978944460,2004,0,0,3,0
https://openalex.org/W1978998773,2004,0,2,2,1
https://openalex.org/W1979105701,2004,0,10,3,5
https://openalex.org/W1979181096,2004,2,2,4,3
https://openalex.org/W1979509100,2004,0,0,4,1
https://openalex.org/W1979691230,2004,0,2,2,1
https://openalex.org/W1979869921,2004,0,0,2,2
https://openalex.org/W1979883225,2004,7,0,3,2
https://openalex.org/W1980029563,2004,0,5,1,4
https://openalex.org/W1980360850,2004,0,1,6,3
https://openalex.org/W1980850924,2004,0,11,311,308
https://openalex.org/W1981020606,2004,0,3,0,0
https://openalex.org/W1981122804,2004,0,10,1,0
https://openalex.org/W1981318802,2004,0,4,1,6
https://openalex.org/W1981480806,2004,0,0,0,1
https://openalex.org/W1981647117,2004,5,132,34,95
https://openalex.org/W1981765810,2004,7,15,13,5
https://openalex.org/W1981809662,2004,0,2,0,0
https://openalex.org/W1981859409,2004,0,3,2,2
https://openalex.org/W1981907545,2004,0,1,1,3
https://openalex.org/W1982083452,2004,4,3,1,3
https://openalex.org/W1982436122,2004,0,2,0,3
https://openalex.org/W1982730217,2004,0,1,1,0
https://openalex.org/W1982827488,2004,0,4,5,5
https://openalex.org/W1982931417,2004,0,1,0,1
https://openalex.org/W1983065474,2004,1,9,0,2
https://openalex.org/W1983120063,2004,5,65,50,55
https://openalex.org/W1983156306,2004,5,5,14,6
https://openalex.org/W1983307867,2004,0,0,1,4
https://openalex.org/W1983485898,2004,0,4,0,1
https://openalex.org/W1983525457,2004,1,4,1,1
https://openalex.org/W1983652531,2004,1,11,5,16
https://openalex.org/W1983662093,2004,5,0,4,5
https://openalex.org/W1983742908,2004,0,4,6,4
https://openalex.org/W1983751909,2004,0,2,0,0
